State,County Name,Population
IN,Wells County,28142
IN,White County,24165
IN,Whitley County,34378
KS,Allen County,12399
KS,Anderson County,7949
KS,Atchison County,16015
KS,Barber County,4358
KS,Barton County,25658
KS,Bourbon County,14435
KS,Brown County,9482
KS,Butler County,66992
KS,Chase County,2586
KS,Chautauqua County,3230
KS,Cherokee County,19681
KS,Cheyenne County,2600
KS,Clark County,1963
KS,Clay County,8025
KS,Cloud County,8642
KS,Coffey County,8158
KS,Comanche County,1690
KS,Cowley County,34628
KS,Crawford County,38730
KS,Decatur County,2776
KS,Dickinson County,18266
KS,Doniphan County,7496
KS,Douglas County,122530
KS,Edwards County,2750
KS,Elk County,2507
KS,Ellis County,28671
KS,Ellsworth County,6034
KS,Finney County,35917
KS,Ford County,33094
KS,Franklin County,25703
KS,Geary County,32218
KS,Gove County,2621
KS,Graham County,2389
KS,Grant County,7077
KS,Gray County,5954
KS,Greeley County,1196
KS,Greenwood County,5868
KS,Hamilton County,2425
KS,Harper County,5336
KS,Harvey County,34291
KS,Haskell County,3923
KS,Hodgeman County,1779
KS,Jackson County,13171
KS,Jefferson County,19032
KS,Jewell County,2833
KS,Johnson County,607220
KS,Kearny County,3745
KS,KIA County,2456
KS,Kingman County,6974
KS,Labette County,19586
KS,Lane County,1518
KS,Leavenworth County,82246
KS,Lincoln County,2986
KS,Linn County,9654
KS,Logan County,2732
KS,Lyon County,33045
KS,Marion County,11652
KS,Marshall County,9652
KS,McPherson County,28448
KS,Meade County,4029
KS,Miami County,34334
KS,Mitchell County,5879
KS,Montgomery County,31502
KS,Morris County,5559
KS,Morton County,2538
KS,Nemaha County,10121
KS,Neosho County,15929
KS,Ness County,2768
KS,Norton County,5328
KS,Osage County,15770
KS,Osborne County,3439
KS,Ottawa County,5712
KS,Pawnee County,6366
KS,Phillips County,5181
KS,Pottawatomie County,24722
KS,Pratt County,9127
KS,Rawlins County,2511
KS,Reno County,61793
KS,Republic County,4536
KS,Rice County,9362
KS,Riley County,73202
KS,Rooks County,4827
KS,Rush County,2947
KS,Russell County,6804
KS,Saline County,53926
KS,Scott County,4790
KS,Sedgwick County,519907
KS,Seward County,21038
KS,Shawnee County,175999
KS,Sheridan County,2520
KS,Sherman County,5777
KS,Smith County,3544
KS,Stafford County,4046
KS,Stanton County,1969
KS,Stevens County,5388
KS,Sumner County,22578
KS,Thomas County,7702
KS,Trego County,2758
KS,Wabaunsee County,6906
KS,Wallace County,1536
KS,Washington County,5427
KS,Wichita County,2074
KS,Wilson County,8362
KS,Woodson County,3015
KS,Wyandotte County,165265
KY,Adair County,19555
KY,Allen County,21303
KY,Anderson County,22833
KY,Ballard County,7769
KY,Barren County,44300
KY,Bath County,12481
KY,Bell County,25482
KY,Boone County,135396
KY,Bourbon County,19901
KY,Boyd County,46516
KY,Boyle County,30367
KY,Bracken County,8286
KY,Breathitt County,12550
KY,Breckinridge County,20537
KY,Bullitt County,82182
KY,Butler County,12703
KY,Caldwell County,12687
KY,Calloway County,39300
KY,Campbell County,94020
KY,Carlisle County,4692
KY,Carroll County,10730
KY,Carter County,26542
KY,Casey County,16066
KY,Christian County,71478
KY,Clark County,36463
KY,Clay County,19631
KY,Clinton County,10110
KY,Crittenden County,8847
KY,Cumberland County,6523
KY,Daviess County,101978
KY,Edmonson County,12235
KY,Elliott County,7372
KY,Estill County,14109
KY,Fayette County,324735
KY,Fleming County,14603
KY,Floyd County,34974
KY,Franklin County,51118
KY,Fulton County,5952
KY,Gallatin County,8779
KY,Garrard County,17719
KY,Grant County,25387
KY,Graves County,36818
KY,Grayson County,26480
KY,Green County,10995
KY,Greenup County,34865
KY,Hancock County,8742
KY,Hardin County,111309
